,acc,f1,auc,kappa,time,CV_mean_acc,CV_mean_f1,CV_mean_auc,CV_mean_kappa,CV_sd_acc,CV_sd_f1,CV_sd_auc,CV_sd_kappa
LogReg w/Selected Features,"[0.5091649694501018, 0.5570264765784114, 0.5407331975560081, 0.5529531568228105, 0.5417515274949084, 0.5580448065173116, 0.5590631364562119, 0.5305498981670062, 0.5407331975560081, 0.5376782077393075]","[0.4773532322475207, 0.535755169385642, 0.5213221386500483, 0.5269784057393434, 0.511736114598612, 0.5336204403162691, 0.5387331916344393, 0.5053250462704527, 0.5155204923076699, 0.5135505888214135]","[0.7908204927132217, 0.8001789239845465, 0.7825418578344745, 0.7975847955036764, 0.7899525812544599, 0.7864715946786476, 0.7852661098960009, 0.7828380680079164, 0.7800384533460768, 0.787898023417047]","[0.34894699269476614, 0.40599304996433205, 0.3808132381889764, 0.39936745896842873, 0.3827151871061649, 0.40384615384615385, 0.406695373349668, 0.3710594135748869, 0.3811783379862118, 0.3818495928477641]",3.0875208377838135,0.5428,0.518,0.7884,0.3862,0.0146,0.0172,0.0062,0.0173
LogReg w/All Features,"[0.5203665987780041, 0.5509164969450102, 0.5386965376782077, 0.5488798370672098, 0.5519348268839104, 0.5590631364562119, 0.5610997963340122, 0.5417515274949084, 0.5336048879837068, 0.5498981670061099]","[0.4894590664749659, 0.5318827524830979, 0.522214094726302, 0.5236525698895698, 0.5226068386638941, 0.5354688963118964, 0.5417626708797125, 0.5155765310586304, 0.5107727811344821, 0.5279758460764309]","[0.7997363492240782, 0.8049245189482296, 0.7848099981613836, 0.8017306174402057, 0.8012100774884356, 0.7999229685902399, 0.7959715800854543, 0.7937021469291642, 0.7787485107559029, 0.7930327335341246]","[0.3630445709878881, 0.39807355516637477, 0.37736926526533243, 0.3935601329348264, 0.39583342072550887, 0.40518483494531754, 0.40904165898720457, 0.38624829513415315, 0.37156303009470804, 0.39762711346916346]",15.0433988571167,0.5456,0.5221,0.7954,0.3898,0.0117,0.0139,0.0078,0.0142
RF w/Selected Features,"[0.5376782077393075, 0.5509164969450102, 0.5427698574338086, 0.554989816700611, 0.5580448065173116, 0.5519348268839104, 0.5539714867617108, 0.5560081466395111, 0.554989816700611, 0.5162932790224033]","[0.5149748724220126, 0.533212090888659, 0.5328500857073261, 0.5388762395199465, 0.5382768202535947, 0.5409399678115099, 0.5361247466750606, 0.535590613811297, 0.5344263448642637, 0.49949488412267545]","[0.809993955681098, 0.8049187909792921, 0.7986072253369125, 0.8141291933327994, 0.810322071247285, 0.8000556899399968, 0.8037255605360821, 0.8033731082796512, 0.8057251865025102, 0.7990350921689062]","[0.3827960710750552, 0.3954898553152285, 0.3816155598191344, 0.4020946624700966, 0.40313314903044917, 0.394915429880602, 0.39806874160322436, 0.4021050162058598, 0.39953208911575466, 0.3515520628137455]",113.9519579410553,0.5478,0.5305,0.805,0.3911,0.0121,0.0124,0.0049,0.015
LGBM w/Selected Features,"[0.575356415478615, 0.6008146639511202, 0.5631364562118126, 0.5916496945010183, 0.5865580448065173, 0.5733197556008147, 0.5610997963340122, 0.5733197556008147, 0.5824847250509165, 0.5560081466395111]","[0.5651781681887758, 0.5907558248871074, 0.5621571178136529, 0.5803309113620329, 0.5757361334571892, 0.566148341271867, 0.5521290988153112, 0.5608065264140025, 0.5744129917657896, 0.5483794542518137]","[0.8244683863811658, 0.8256247928994946, 0.8118055806074087, 0.843095032882011, 0.8275324090106886, 0.8169385543949802, 0.8168528156143566, 0.8179490868371825, 0.8257237164206224, 0.8206709555669796]","[0.43176895206668453, 0.4640021610121111, 0.41170671217228827, 0.4519524910997358, 0.443981434994589, 0.4259409112217335, 0.409106012503595, 0.42786704024806543, 0.4386631197961107, 0.4052031801997419]",151.9052538871765,0.5764,0.5676,0.8231,0.431,0.0135,0.0123,0.0082,0.0182
LGBM w/All Features,"[0.5906313645621182, 0.6089613034623218, 0.5672097759674134, 0.5926680244399185, 0.5926680244399185, 0.5885947046843177, 0.5896130346232179, 0.5723014256619144, 0.5885947046843177, 0.5967413441955194]","[0.5797408545428387, 0.6012474586891289, 0.5647859525604664, 0.5820026893251486, 0.5807868423715492, 0.5832708521197404, 0.5799384170477164, 0.5596675109463383, 0.5810734807662091, 0.5897144090218179]","[0.8356955225223831, 0.8312196377355685, 0.821736477375091, 0.8500340789670893, 0.8364702948791536, 0.8261606815392307, 0.8286744584142411, 0.8306481149862157, 0.830971431109688, 0.8328258802307724]","[0.4523464682282041, 0.4748706979386871, 0.4172765936057503, 0.45342036677051867, 0.4511375481721819, 0.4471275516460974, 0.44774182384495587, 0.4273607277533724, 0.44669266344217395, 0.4596478356566398]",334.90413188934326,0.5888,0.5802,0.8324,0.4478,0.0111,0.011,0.0072,0.0151
Dummy Classifier,"[0.22708757637474541, 0.24439918533604887, 0.26782077393075354, 0.25661914460285135, 0.24745417515274948, 0.2515274949083503, 0.2525458248472505, 0.2668024439918534, 0.2454175152749491, 0.2556008146639511]","[0.22741063592706656, 0.2440707395064646, 0.2686232343914199, 0.25753590181542757, 0.24861101565572988, 0.251330771076091, 0.2533807937246403, 0.2676846362903925, 0.24521851790505794, 0.25573469251929926]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.028138919274587337, -0.007317332802470711, 0.023112693925947947, 0.008846082587403159, -0.003541514263549095, 0.001170746288485125, 0.0028774271374579774, 0.02317311239228914, -0.006957879092320818, 0.008494569000762509]",0.2712228298187256,0.2515,0.252,0.5,0.0022,0.0112,0.0114,0.0,0.0145
RF w/All Features,"[0.570264765784114, 0.5896130346232179, 0.5692464358452138, 0.5916496945010183, 0.5814663951120163, 0.5845213849287169, 0.5733197556008147, 0.5814663951120163, 0.5682281059063137, 0.570264765784114]","[0.546175806079057, 0.5712914155290931, 0.557886538314202, 0.569198772946311, 0.5588703492374526, 0.5648277409168568, 0.5564247146399051, 0.563692579194393, 0.5510746638905052, 0.5521636429105113]","[0.8326399501834222, 0.8315621282802109, 0.8132356418629054, 0.8367426743120049, 0.833253105384834, 0.8224366843111348, 0.8278919870619649, 0.824576108502962, 0.8227044490203793, 0.8260731379055122]","[0.42677557456756143, 0.4479051573085121, 0.4171231800271663, 0.4511420196611087, 0.4348078762409029, 0.43726667247205686, 0.42403482740278287, 0.4370043647289725, 0.4175856763183663, 0.4235790609881963]",123.01743817329407,0.578,0.5592,0.8271,0.4317,0.0084,0.0077,0.0065,0.0113
LR validation w/Selected Features,0.5331975560081467,0.5070224880021436,0.7878918821132964,0.37449795736875746,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LR validation w/All Features,0.5486761710794298,0.5265306342243318,0.7954677245403659,0.39530057127816653,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF validation w/All Features,0.5885947046843177,0.5676031445960262,0.8309191657118921,0.44697588109607866,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB validation w/Selected Features,0.5837067209775968,0.5736010520525555,0.8276364395010682,0.4409238957622468,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB validation w/All Features,0.6065173116089613,0.5954874800226335,0.8363350487998494,0.4717364181843332,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy Classifier validation,0.2505091649694501,0.10036686414085459,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF validation w/Selected Features,0.5486761710794298,0.5290082906459452,0.8087147029622044,0.393525234071604,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
