,acc,f1,auc,kappa,time,CV_mean_acc,CV_mean_f1,CV_mean_auc,CV_mean_kappa,CV_sd_acc,CV_sd_f1,CV_sd_auc,CV_sd_kappa
LogReg w/Selected Features,"[0.7841140529531568, 0.8014256619144603, 0.774949083503055, 0.8075356415478615, 0.8075356415478615, 0.790224032586558, 0.7963340122199593, 0.8105906313645621, 0.8004073319755601, 0.8065173116089613]","[0.783787177535736, 0.8012283729439102, 0.7741219584600195, 0.8075177313908437, 0.8074273998633728, 0.7899977994756336, 0.7959498672356519, 0.8102837208109152, 0.800137640274912, 0.8063584268807702]","[0.8682684685208167, 0.8795903383566247, 0.8644917812814492, 0.8868343473624789, 0.8779830398238944, 0.8720652282739287, 0.8783939014202172, 0.8796152567969476, 0.887223738516842, 0.8847592195970819]","[0.5673667191740683, 0.6027491608545384, 0.5423465751171432, 0.6118836809549103, 0.6127097670808102, 0.5772690037949078, 0.5885394407153213, 0.6146923690305922, 0.5987926592347395, 0.609168146931662]",2.6301679611206055,0.798,0.7977,0.8779,0.5926,0.011,0.0112,0.0073,0.0226
LogReg w/All Features,"[0.8054989816700611, 0.8207739307535642, 0.8014256619144603, 0.8238289205702648, 0.8054989816700611, 0.8004073319755601, 0.8116089613034623, 0.8085539714867617, 0.8329938900203666, 0.8197556008146639]","[0.8051183075130197, 0.8207382367928733, 0.8012172846680152, 0.8239596583429571, 0.8053546411233312, 0.8005171116022944, 0.8115926296922179, 0.8085539714867617, 0.8327989325842621, 0.8196659785188037]","[0.8866052121508943, 0.907544062685366, 0.885579503522308, 0.8989274289656903, 0.8840804482689613, 0.88952159257776, 0.8938345864661654, 0.895758401797095, 0.9101401278125415, 0.9029976239876849]","[0.6101246772899422, 0.6415062247721455, 0.5977455770709307, 0.6453926467702815, 0.6084970840064958, 0.5990300323322556, 0.6205072715043094, 0.6116895299873379, 0.6643714571523841, 0.6361150771884723]",7.161888599395752,0.813,0.813,0.8955,0.6235,0.0102,0.0103,0.0088,0.0211
RF w/Selected Features,"[0.8136456211812627, 0.835030549898167, 0.8156822810590632, 0.8054989816700611, 0.8126272912423625, 0.8044806517311609, 0.8034623217922607, 0.8309572301425662, 0.8441955193482689, 0.840122199592668]","[0.8136407868300074, 0.8349627711151321, 0.8159336877652918, 0.8056141271469619, 0.8125694485792999, 0.8044169912320585, 0.8036681075435604, 0.8311105408233512, 0.844027466143347, 0.8401370773421483]","[0.8972428477153779, 0.9095268316761865, 0.8953832606507883, 0.8956198122477995, 0.8885164431992528, 0.8844071218795888, 0.8933082706766916, 0.8983202715834375, 0.9107558913593397, 0.9170027106619368]","[0.6270499117982775, 0.6700063474678581, 0.6285356015799703, 0.6083532050130923, 0.6231206928198367, 0.606485114624902, 0.6051788429889798, 0.657798061138378, 0.6869183611380847, 0.6775964968778885]",89.57188177108765,0.8206,0.8206,0.899,0.6391,0.0147,0.0147,0.0098,0.0296
RF w/All Features,"[0.8156822810590632, 0.835030549898167, 0.8217922606924644, 0.8217922606924644, 0.8126272912423625, 0.8085539714867617, 0.8309572301425662, 0.8238289205702648, 0.8421588594704684, 0.8462321792260692]","[0.8155902135971251, 0.8349627711151321, 0.8218477100620178, 0.8219497552069323, 0.8125381543862077, 0.8086098434349136, 0.8309854649954117, 0.8238072382039588, 0.8420156269009109, 0.8461872882097762]","[0.9076480573759946, 0.9174662037440321, 0.9008092921838309, 0.9031299002697107, 0.8950286838769929, 0.8965592043785877, 0.9010275689223058, 0.9034734579352759, 0.9172505325522566, 0.9217254534502377]","[0.6309052624584166, 0.6700063474678581, 0.639928258036399, 0.6414248692770909, 0.6230106073124526, 0.6151588426582173, 0.6596570932262132, 0.6425845434004183, 0.6828971545951892, 0.6896840378200326]",112.46773505210876,0.8259,0.8258,0.9064,0.6495,0.0119,0.0118,0.0088,0.0238
LGBM w/Selected Features,"[0.8258655804480651, 0.8482688391038696, 0.8268839103869654, 0.8116089613034623, 0.8156822810590632, 0.8228105906313645, 0.8187372708757638, 0.8319755600814664, 0.8543788187372708, 0.845213849287169]","[0.8258697359911524, 0.8481546647057229, 0.8268068962791434, 0.8116906193596846, 0.8153563920115285, 0.8228623019025264, 0.8189547345031013, 0.8321453699050441, 0.8542217494019517, 0.8450152390803671]","[0.9067183537605266, 0.9213861131505702, 0.9048096276417309, 0.9012440151372598, 0.8947618571142686, 0.9011522159925245, 0.9010651629072681, 0.9107762591653099, 0.9212363533484222, 0.9194163710595007]","[0.6515403674636542, 0.6964696901177048, 0.649691953868623, 0.6205167839909762, 0.6284517394049107, 0.6438172267155842, 0.6360509373776745, 0.6599423268230642, 0.7073812133512818, 0.6870985594257828]",260.3746871948242,0.8301,0.8301,0.9083,0.6581,0.0138,0.0138,0.0091,0.028
LGBM w/All Features,"[0.8167006109979633, 0.8441955193482689, 0.8309572301425662, 0.8238289205702648, 0.8238289205702648, 0.8217922606924644, 0.8238289205702648, 0.8279022403258656, 0.8482688391038696, 0.8411405295315683]","[0.8166663645083384, 0.8441378129673152, 0.8311199311116084, 0.8240080871308265, 0.8236303811449203, 0.8219008448358651, 0.8239723502078531, 0.8279230491400505, 0.8482222542898424, 0.8408578424534449]","[0.9114747838646616, 0.9205979832169805, 0.907329755115733, 0.9057601037027745, 0.8978428723901007, 0.9051862234681618, 0.9063199665831246, 0.9126482329829168, 0.9207994940753562, 0.9225829931062178]","[0.6330724679799888, 0.6883419140983145, 0.658956441692121, 0.6456529991615112, 0.6451852749153095, 0.6420462829886062, 0.6458509658079391, 0.6510188203133214, 0.6954462007268428, 0.6786217776584318]",256.5214819908142,0.8302,0.8302,0.9111,0.6584,0.0101,0.0101,0.0077,0.0203
Dummy Classifier,"[0.5142566191446029, 0.5020366598778004, 0.4908350305498982, 0.5, 0.5091649694501018, 0.4663951120162933, 0.4847250509164969, 0.47352342158859473, 0.5234215885947047, 0.5193482688391039]","[0.514316564141955, 0.5020258156721802, 0.49219815469904615, 0.5009924148553754, 0.5097763327093313, 0.4671395996831158, 0.485611105440023, 0.47535168770541625, 0.5237696870359702, 0.5203467932992002]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.028754960790574824, 0.004114628916052521, -0.01725395299499466, 0.0009117243608605108, 0.019042013462877594, -0.06639145175863992, -0.02967432839037487, -0.05168806526053249, 0.04737662509949592, 0.03959288206675349]",0.23119163513183594,0.4984,0.4992,0.5,-0.0025,0.0183,0.018,0.0,0.0364
LR validation w/Selected Features,0.7853360488798371,0.7605633802816902,0.8654038279700471,0.5661489657438814,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LR validation w/All Features,0.6382892057026477,0.6517647058823529,0.6989161529850596,0.2867369534149623,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF validation w/Selected Features,0.8016293279022403,0.779936737460461,0.8901086923086181,0.5994221769982487,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
