,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
100,0.132081458,0.362751025,0.354836339,0.089558485,0.354836339,0.089558485,0.290039452,0.265277854,0.584569992
208,0.378829526,0.301482635,0.389648449,0.397120046,0.389648449,0.397120046,-0.008169012,-0.007471597,0.410074739
209,0.487888123,0.736953612,1.468466096,1.094864725,1.468466096,1.094864725,0.408474116,0.373601371,0.653871467
210,0.711415295,1.455933376,1.045772526,0.401197101,1.045772526,0.401197101,0.704741463,0.644575426,0.827230884
211,0.569631593,0.476934792,0.274424758,0.586169642,0.569631593,0.586169642,-0.018081746,-0.016538049,0.404274351
212,0.25129283,0.391504067,0.362532932,1.0732956,0.362532932,1.001462479,-0.698568587,-0.638929547,0.00609074
215,0.054115867,0.348727255,0.802352306,0.309976985,0.802352306,0.325176195,0.521716741,0.477176111,0.720134846
216,0.285189379,0.312937744,0.766274182,0.104600304,0.766274182,0.378766969,0.423677958,0.387507213,0.662767922
217,0.406862513,0.231534609,0.346833909,0.33924785,0.406862513,0.31230606,0.103382553,0.094556453,0.475348603
219,0.099571361,0.31711757,0.428972368,0.108864673,0.428972368,0.244204008,0.202015031,0.18476836,0.533062924
220,0.17131875,0.333867733,0.249890758,0.306237284,0.249890758,0.339736724,-0.098232379,-0.089845966,0.357374592
231,0.772554206,0.804490767,0.783714108,0.701741965,0.783714108,0.687361956,0.105345867,0.096352152,0.476497426
233,0.795645923,0.436084012,0.47737133,0.90457891,0.795645923,0.700072522,0.104494425,0.095573401,0.475999209
235,0.565446081,0.599114557,0.510508141,0.851292152,0.565446081,1.213895922,-0.708977525,-0.648449841,0
237,0.496181714,0.348045399,0.370418031,0.237663907,0.496181714,0.341884622,0.168699509,0.154297091,0.513568506
239,3.056178908,2.185058052,1.0961174,0.34751792,3.056178908,2.3684557,0.751916751,0.687723208,0.854835277
244,3.252096659,1.803117791,1.481120052,1.459817587,3.252096659,2.576235874,0.738947064,0.675860784,0.847246127
245,1.718991406,0.767629466,0.505866538,0.835138926,1.718991406,0.804364611,1,0.914626795,1
246,0.291936876,0.354159329,0.89482958,1.222656694,0.89482958,0.664746946,0.251559035,0.230082634,0.56205336
256,0.193112741,0.263168424,0.285608701,0.294749156,0.285608701,0.268699197,0.018487874,0.016909505,0.425672888
260,0.184830641,0.218788389,0.255161172,0.569832126,0.255161172,0.773580901,-0.566810125,-0.518419728,0.083188572
261,0.225111414,0.195066222,0.814777911,0.35341597,0.814777911,0.582309066,0.25416798,0.232468845,0.563579972
263,0.073947329,0.061885249,0.531607624,0.152439899,0.531607624,0.257515774,0.299676165,0.27409185,0.590208868
264,0.125952952,0.144654188,0.215694033,0.129617626,0.215694033,0.25179159,-0.03946698,-0.036097557,0.391760884
269,0.958015052,1.889025441,2.14364227,2.582410703,2.14364227,2.582410703,-0.47972401,-0.438768433,0.134146595
278,0.947427446,0.631509541,0.617136154,0.743744092,0.947427446,0.743744092,0.22269559,0.203683354,0.545164054
