subject,n_components,explained_variance_ratio
100,1,0.14037538615467776
100,2,0.27326261373089683
100,3,0.39517039487593497
100,4,0.5126665972472316
100,5,0.6283550244137803
100,6,0.7352365898225005
100,7,0.809733293506395
100,8,0.8752682176631618
100,9,0.92575755093158
100,10,0.9537283003716748
100,11,0.9732123515471555
100,12,0.9907404204002808
100,13,0.9952742623937817
100,14,0.9991742536867833
100,15,0.9999999999999999
208,1,0.1905067947371054
208,2,0.32402922992259964
208,3,0.45041489237175125
208,4,0.5696258245450865
208,5,0.6799465725624091
208,6,0.7695225855829648
208,7,0.8355554964634457
208,8,0.8749149720700427
208,9,0.9054513422392635
208,10,0.9352289146319115
208,11,0.9551890083747538
208,12,0.9750101436496148
208,13,0.9935326777323231
208,14,0.9978268198515158
208,15,0.9999999999999999
209,1,0.20363815138609667
209,2,0.40092531078360316
209,3,0.5284731519308892
209,4,0.652703389469945
209,5,0.7666277758835444
209,6,0.8338530072247495
209,7,0.8699585956587278
209,8,0.9040034558928622
209,9,0.9347516612291302
209,10,0.9611653036045266
209,11,0.9807195781174194
209,12,0.9890989617255341
209,13,0.9942504330970472
209,14,0.9979684393252276
209,15,1.0
210,1,0.2265729456764809
210,2,0.3635061278402764
210,3,0.4905019253552082
210,4,0.6071025438571118
210,5,0.6884929343074755
210,6,0.767811747207111
210,7,0.8326502106804397
210,8,0.8822484792576569
210,9,0.9176295889035728
210,10,0.9520756710700699
210,11,0.9720357941739488
210,12,0.9886717363306722
210,13,0.9971188420897361
210,14,0.9991021683245885
210,15,1.0
211,1,0.23596140298254714
211,2,0.3694749091402643
211,3,0.49496180661244016
211,4,0.6129565020216066
211,5,0.7068093774206511
211,6,0.7833709938358006
211,7,0.8495166870626649
211,8,0.8957178440636082
211,9,0.9334869936119544
211,10,0.9588096963542833
211,11,0.9760431493905111
211,12,0.9915602502061288
211,13,0.9976775940224663
211,14,0.9989775207154196
211,15,1.0000000000000002
212,1,0.16397060986731354
212,2,0.3205882935237445
212,3,0.45247419496923114
212,4,0.582071457438139
212,5,0.6901264958881125
212,6,0.7752512563151777
212,7,0.8414786041562082
212,8,0.8971248792130472
212,9,0.928695379278717
212,10,0.9522609022141537
212,11,0.9712610306203112
212,12,0.9894397915238637
212,13,0.9974079025465274
212,14,0.9987895614210672
212,15,1.0
215,1,0.14485796110386487
215,2,0.28348226421459866
215,3,0.4156001617469371
215,4,0.5367424813354696
215,5,0.650711236200465
215,6,0.7444835325441128
215,7,0.8173626842239624
215,8,0.8855149150481431
215,9,0.9291860234121991
215,10,0.9502839617987576
215,11,0.9695988531246057
215,12,0.9862261469642107
215,13,0.9955747586795419
215,14,0.9987849563101371
215,15,0.9999999999999998
216,1,0.1730035292416283
216,2,0.306840864712177
216,3,0.4360291351536729
216,4,0.5591779649481015
216,5,0.6746005973090194
216,6,0.7586149275428092
216,7,0.8254126887212803
216,8,0.8824057434029571
216,9,0.9233303152974587
216,10,0.9523194171701418
216,11,0.9702449381829036
216,12,0.9880112073039158
216,13,0.9980258244927713
216,14,0.9991510683884184
216,15,1.0
217,1,0.2412060904835221
217,2,0.3870297891005413
217,3,0.5167260123420401
217,4,0.6177371560496564
217,5,0.69341179913039
217,6,0.7613361950655976
217,7,0.8195298506888494
217,8,0.8689455388298745
217,9,0.9090978748361623
217,10,0.9477886600331286
217,11,0.9652637693938891
217,12,0.9808855953495498
217,13,0.9911178220340621
217,14,0.9981268198399154
217,15,1.0
219,1,0.16511488059465895
219,2,0.2970653085273065
219,3,0.41240730028375894
219,4,0.5173086427887343
219,5,0.6168439561488863
219,6,0.6984870306428158
219,7,0.778110878096009
219,8,0.8450664449425409
219,9,0.9024347828403444
219,10,0.9296068629993304
219,11,0.9548116018789731
219,12,0.9728529215101107
219,13,0.9885354517663885
219,14,0.998622234238862
219,15,0.9999999999999998
220,1,0.1767779559465768
220,2,0.3107114490345495
220,3,0.43190981602991363
220,4,0.5510049395777988
220,5,0.6552704701181672
220,6,0.7324129689463504
220,7,0.7994138563629641
220,8,0.8641551741715469
220,9,0.9137587593725417
220,10,0.9419229289462379
220,11,0.9614470374314131
220,12,0.9806121585753728
220,13,0.9935652512010181
220,14,0.99950872857511
220,15,1.0
231,1,0.1379267714666939
231,2,0.26318284806287734
231,3,0.3836477131908805
231,4,0.49913655873040746
231,5,0.6121176081903048
231,6,0.715951741380886
231,7,0.8037841377103976
231,8,0.8705863295700944
231,9,0.931389491697229
231,10,0.9514352951795787
231,11,0.9704980391184399
231,12,0.9823870121718608
231,13,0.993719993600293
231,14,0.9979225916890386
231,15,1.0
233,1,0.20881886079035542
233,2,0.3715895351314886
233,3,0.5042443962337588
233,4,0.6162121644283138
233,5,0.7243448136354396
233,6,0.8147880623924577
233,7,0.8802115975613516
233,8,0.9129240687409823
233,9,0.9365197464930106
233,10,0.9584829842550545
233,11,0.9767607338669213
233,12,0.9893057263006411
233,13,0.9958364595642196
233,14,0.9996935221132789
233,15,1.0
235,1,0.18700356398855703
235,2,0.3603798570345259
235,3,0.49349298605934966
235,4,0.6211896298340562
235,5,0.7373083285788407
235,6,0.8037197238467119
235,7,0.8616173045747645
235,8,0.9069675083499379
235,9,0.942247873405643
235,10,0.9713034919907153
235,11,0.9839238595551538
235,12,0.9933236904886141
235,13,0.9976541474414089
235,14,0.999014985617993
235,15,1.0
237,1,0.14243394223283515
237,2,0.2750192503834029
237,3,0.4021635620474666
237,4,0.5243201000924687
237,5,0.6353323314715986
237,6,0.7376991225538267
237,7,0.8371725609710241
237,8,0.9014027557755193
237,9,0.9291459755185427
237,10,0.9497113850095203
237,11,0.9692585919150426
237,12,0.9840531094923933
237,13,0.99538760049216
237,14,0.9990717211879393
237,15,1.0
239,1,0.19471492082267436
239,2,0.3603715620223879
239,3,0.49722036761115795
239,4,0.6288827607940779
239,5,0.7068730604766452
