,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
100,3.595020655,3.394536895,3.766071526,3.672638455,3.766071526,3.672638455,0.112744184,0.093433071,0.443124941
208,3.590796934,3.673012962,3.394194039,3.568870077,3.590796934,3.568870077,0.026458785,0.021926856,0.388968985
209,3.660296909,3.706395711,3.793030421,3.684289892,3.793030421,3.684289892,0.131215447,0.108740529,0.454718199
210,4.005778163,3.892661057,3.966716989,3.892009467,4.005778163,3.892009467,0.137282856,0.113768696,0.458526333
211,3.842553486,3.868074328,3.577543839,3.932750033,3.842553486,3.932750033,-0.108838722,-0.090196547,0.30405119
212,3.711719241,3.298133872,3.527181807,3.974024932,3.711719241,3.974024932,-0.316520059,-0.262305691,0.173702587
215,3.574242293,3.326248314,3.994300657,3.42228211,3.994300657,3.42228211,0.690245582,0.572018548,0.805586498
216,3.64612589,3.727545385,4.11055627,3.704801525,4.11055627,3.704801525,0.489617725,0.405754745,0.679664924
217,3.724921044,3.668240376,3.659466028,3.49495892,3.724921044,3.49495892,0.277491597,0.229962124,0.546526602
219,3.700888924,3.496173207,3.737483194,3.548849731,3.737483194,3.548849731,0.227620965,0.188633462,0.515225922
220,3.704235844,3.675237144,3.700199848,3.606322828,3.704235844,3.606322828,0.11815006,0.097913015,0.446517872
231,3.664098935,3.678294621,3.648070995,3.34135101,3.664098935,3.34135101,0.38945473,0.322747925,0.616798868
233,3.63553824,4.187896347,3.772816218,3.605600705,3.772816218,3.605600705,0.20177627,0.167215513,0.499004821
235,4.086764441,3.992015451,4.216712828,4.072396359,4.216712828,4.072396359,0.174144363,0.14431647,0.481661998
237,3.909118633,3.665369006,3.400694946,3.609208696,3.909118633,3.609208696,0.361896497,0.299909937,0.599502286
239,4.016607518,3.959762478,3.808822781,3.57613555,4.016607518,3.57613555,0.531510439,0.440471968,0.705958364
244,3.634280944,3.808013968,3.686719173,3.760969588,3.686719173,3.760969588,-0.089596782,-0.074250415,0.316128155
245,3.921977367,3.952143669,3.869838837,3.582643465,3.921977367,3.582643465,0.409468763,0.339333903,0.629360426
246,4.123201104,3.899918168,3.757493244,3.942793726,4.123201104,3.942793726,0.217694681,0.180407378,0.508995813
256,3.609926218,3.837899602,3.973441443,3.844864503,3.973441443,3.844864503,0.155151725,0.12857694,0.469741506
260,3.519311748,3.677393921,3.527817946,3.175811883,3.527817946,3.175811883,0.424760055,0.352006064,0.638957816
261,3.686142318,3.567241287,3.938268252,3.743536446,3.938268252,3.743536446,0.234979738,0.194731806,0.519844564
263,3.296063854,3.646359999,3.512796523,3.276785872,3.512796523,3.276785872,0.284790256,0.23601065,0.551107515
264,3.734628371,3.953423647,3.660135354,3.817135806,3.734628371,3.817135806,-0.099560394,-0.082507434,0.309874618
269,3.571603912,3.79255602,3.553600535,3.444511289,3.571603912,3.444511289,0.153360625,0.127092624,0.468617344
278,3.038565336,3.081789502,3.010994032,3.143759076,3.038565336,3.143759076,-0.126935594,-0.10519374,0.292692914
279,3.333436745,3.495579725,3.44411246,3.535321725,3.44411246,3.535321725,-0.110060754,-0.091209265,0.303284198
280,3.63523531,3.638035405,3.426530454,3.293429394,3.63523531,3.293429394,0.412451702,0.341805917,0.631232631
281,3.523247678,3.725867622,3.638903591,3.765156673,3.638903591,3.765156673,-0.152347564,-0.126253082,0.276743408
282,3.409087929,3.523497649,3.253965058,3.302752344,3.409087929,3.302752344,0.12831344,0.106335585,0.452896791
283,3.571710439,3.510810078,3.579572577,3.869572151,3.579572577,3.869572151,-0.349937823,-0.289999575,0.152728344
284,3.578774193,3.636967075,3.320792342,3.173120633,3.578774193,3.173120633,0.489495627,0.40565356,0.67958829
285,3.477988296,3.393024853,3.242527761,3.010930165,3.477988296,3.010930165,0.563591535,0.467058131,0.726093664
287,3.46396729,3.453713943,3.327931463,3.508292121,3.46396729,3.508292121,-0.053486061,-0.044324831,0.338792599
288,3.576802107,3.418299705,3.467938642,3.383255402,3.576802107,3.383255402,0.233549696,0.193546705,0.518947016
289,3.444087663,3.17395645,3.485162085,3.652128541,3.485162085,3.652128541,-0.201475737,-0.166966456,0.245908722
292,3.508427638,3.523532009,3.470857206,3.530346995,3.508427638,3.530346995,-0.026449735,-0.021919357,0.355761612
304,3.537717461,3.648915512,3.384499664,3.458452354,3.537717461,3.458452354,0.09564793,0.079265107,0.43239469
305,4.024399521,3.986232186,4.124296566,4.084163114,4.124296566,4.084163114,0.048428391,0.040133452,0.402757935
306,3.842076619,3.78305952,3.685488674,3.430976164,3.842076619,3.430976164,0.496068308,0.411100455,0.683713552
307,3.682597748,3.681796816,3.491452104,3.758958631,3.682597748,3.758958631,-0.092143448,-0.076360882,0.314529771
308,3.629175317,3.64772752,3.891441088,3.789815132,3.891441088,3.789815132,0.122630406,0.101625955,0.449329905
309,3.639856281,3.669159188,3.558659337,3.411223892,3.639856281,3.411223892,0.275887027,0.228632389,0.545519514
310,3.727577404,3.95729445,4.069327569,3.780431179,4.069327569,3.780431179,0.348606628,0.28889639,0.591161065
