Subject,Model,Phase_vs_phase,AUC,F1,AdjustedMutualInformation,CalinskiHarabasz,Silhouette_Manhalanobis,DaviesBouldin
100,Agglomerative,phase1_vs_phase2,0.504249533,0.026345573,0.001305505,58605.50458,0.526664498,0.213322434
100,Agglomerative,phase1_vs_phase3,0.50268514,0.052193881,0.000350397,89175.00166,0.518936572,0.207362377
100,Agglomerative,phase1_vs_phase4,0.51173817,0.031859498,0.006200406,93059.87891,0.512291189,0.355240722
100,Agglomerative,phase1_vs_phase5,0.503569158,0.029617545,0.000856272,61887.42568,0.545560024,0.244537333
100,Birch,phase1_vs_phase2,0.505296781,0.027392108,0.001860987,62600.06149,0.518546715,0.236465606
100,Birch,phase1_vs_phase3,0.505401933,0.66610845,0.001030692,98228.55912,0.474357254,0.351188522
100,Birch,phase1_vs_phase4,0.511470738,0.031277954,0.006057132,92679.05333,0.515465783,0.347742088
100,Birch,phase1_vs_phase5,0.504532064,0.030292599,0.001295493,64138.79423,0.537644558,0.26361425
100,GaussianMixture,phase1_vs_phase2,0.515345186,0.672009492,0.007701868,58458.15718,0.426295782,0.562443668
100,GaussianMixture,phase1_vs_phase3,0.506444593,0.054086941,0.00142749,96865.12066,0.468949872,0.370855626
100,GaussianMixture,phase1_vs_phase4,0.714473075,0.625574387,0.209960646,892.676732,0.23171103,3.956665766
100,GaussianMixture,phase1_vs_phase5,0.973959707,0.974624996,0.831606129,1999.519889,0.319675014,3.368358907
100,KMeans,phase1_vs_phase2,0.511236851,0.034450938,0.005466769,73691.73415,0.472197315,0.375516284
100,KMeans,phase1_vs_phase3,0.505287191,0.666026571,0.000985867,98252.05126,0.474284331,0.351363392
100,KMeans,phase1_vs_phase4,0.511771532,0.031917188,0.006220282,93063.58688,0.511903818,0.356168053
100,KMeans,phase1_vs_phase5,0.511752286,0.031260597,0.00629559,70112.32925,0.493152009,0.384386405
100,SpectralClustering,phase1_vs_phase2,0.504482795,0.026701011,0.001418999,59862.38829,0.524825941,0.218675344
