subject,n_components,explained_variance_ratio
100,1,0.334916940250947
100,2,0.565085527751549
100,3,0.7697775807014888
100,4,0.9177660409605938
100,5,1.0000000000000002
208,1,0.38379407849995795
208,2,0.6539634006223964
208,3,0.8522628293197024
208,4,0.9414126651838404
208,5,1.0
209,1,0.5969500646431286
209,2,0.7962947552816069
209,3,0.8991603929405024
209,4,0.9746261397674252
209,5,0.9999999999999998
210,1,0.3923021180446961
210,2,0.6384441579540696
210,3,0.8348506873471191
210,4,0.9400065778071991
210,5,1.0
211,1,0.3814062899819258
211,2,0.6124444711747781
211,3,0.8116314601246113
211,4,0.9483783620940215
211,5,1.0
212,1,0.47939818621901087
212,2,0.681397361137766
212,3,0.8511161090872524
212,4,0.9438688993070755
212,5,0.9999999999999999
215,1,0.41583720360387266
215,2,0.6382425865266986
215,3,0.8414176791419936
215,4,0.9718099188418052
215,5,0.9999999999999998
216,1,0.37213073390962687
216,2,0.6249934997563471
216,3,0.826178248624774
216,4,0.9482665363157972
216,5,1.0
217,1,0.4286757484218995
217,2,0.6387941331944544
217,3,0.8280572948034014
217,4,0.9484614467722392
217,5,1.0
219,1,0.2933331313787485
219,2,0.5434305611015324
219,3,0.7558733817081811
219,4,0.9201901396708189
219,5,0.9999999999999998
220,1,0.3120255437538511
220,2,0.5475542807611046
220,3,0.7540511108300814
220,4,0.942002753710986
220,5,1.0
231,1,0.31770309035734284
231,2,0.5836990727398381
231,3,0.786564490035055
231,4,0.9661411444932171
231,5,1.0
233,1,0.6272433000936712
233,2,0.8303257741545751
233,3,0.9240559527802763
233,4,0.9888046961916779
233,5,0.9999999999999999
235,1,0.5300990647238163
235,2,0.7300581930492651
235,3,0.8664194100508489
235,4,0.9718181781474327
235,5,1.0000000000000002
237,1,0.3655927203618058
237,2,0.6795411544667329
237,3,0.8740466708403414
237,4,0.9556292595389196
237,5,0.9999999999999998
239,1,0.40920855904359105
239,2,0.6426351872878645
239,3,0.8432516731240338
239,4,0.9803847992218968
239,5,1.0
244,1,0.2949283422636365
244,2,0.5095963775159991
244,3,0.716316900141213
244,4,0.8885342074821938
244,5,1.0
245,1,0.3613596531383691
245,2,0.6143325732615504
245,3,0.8140747044761525
245,4,0.9349883012175767
245,5,1.0
246,1,0.4182333988585598
246,2,0.6694825391703001
246,3,0.8437514249703961
246,4,0.9738506593719247
246,5,1.0
256,1,0.39363094134861176
256,2,0.6504965125091
256,3,0.881551191223908
256,4,1.0
256,5,1.0
260,1,0.48516411618430855
260,2,0.6925587850294471
260,3,0.861538078336953
260,4,0.9704950682892561
260,5,0.9999999999999998
261,1,0.557987647950433
261,2,0.7591191018970611
261,3,0.8871792444090035
261,4,0.9529781500850945
261,5,1.0000000000000002
263,1,0.39232492654837237
263,2,0.6476646728364422
263,3,0.8527623938115462
263,4,0.9478917508592899
263,5,1.0
264,1,0.45724234765224414
264,2,0.696564904450961
264,3,0.8917673617621374
264,4,0.9733051065094
264,5,0.9999999999999999
269,1,0.44338632251070215
269,2,0.6610540744340878
269,3,0.8531466593500467
269,4,0.9747000845706262
269,5,1.0
278,1,0.449054623371343
278,2,0.6718334099520625
278,3,0.8130448615380027
278,4,0.9146151648627723
278,5,1.0000000000000002
279,1,0.404165555781893
279,2,0.6122383252985024
279,3,0.8125641976925531
279,4,0.9701341880771451
279,5,1.0000000000000002
280,1,0.3033437790332907
280,2,0.5987753674578474
280,3,0.799248502219891
280,4,0.948485354006059
280,5,1.0
281,1,0.4262866090223321
281,2,0.6611202777734182
281,3,0.8549486435160925
281,4,0.9707659938946063
281,5,1.0
282,1,0.3745905935576209
282,2,0.61755457526442
282,3,0.7889662712531191
282,4,0.9131106779182812
282,5,1.0000000000000002
283,1,0.3928749079512249
283,2,0.6610519928565578
283,3,0.8395596171225388
283,4,0.9448918963320485
283,5,1.0
284,1,0.43313315952336645
284,2,0.6407539800463211
284,3,0.7959637363274158
284,4,0.9222517701489663
284,5,1.0
285,1,0.3556259837409813
285,2,0.5671002063613539
285,3,0.7414481655925167
285,4,0.8805333085479427
285,5,1.0000000000000002
287,1,0.5225665432510358
287,2,0.7257374619676664
287,3,0.9155436597675407
287,4,0.9754917896025581
287,5,0.9999999999999999
288,1,0.3854730983898909
288,2,0.6126176973342481
288,3,0.7866518035585257
288,4,0.9297937903784697
288,5,1.0
289,1,0.38028230497136684
289,2,0.6244706611932335
289,3,0.8638861297204279
289,4,1.0000000000000002
289,5,1.0000000000000002
292,1,0.5673387266289591
292,2,0.768344268048194
292,3,0.9351546502707491
292,4,0.991112469556482
292,5,0.9999999999999999
304,1,0.4034130302823563
304,2,0.6282900450270084
304,3,0.8199398962054432
304,4,0.9602920345021504
304,5,1.0000000000000002
305,1,0.3404348153128236
305,2,0.5797896602985553
305,3,0.7748725342950304
305,4,0.9297461847291901
305,5,0.9999999999999999
306,1,0.32335014557520575
306,2,0.5388271015393762
306,3,0.7363638786554083
306,4,0.9155529519088189
306,5,1.0
307,1,0.41933612913901636
307,2,0.6251105511287324
307,3,0.8164287496598338
307,4,0.9399919534463704
307,5,0.9999999999999999
308,1,0.2847890086018898
308,2,0.5186366575563613
308,3,0.7203576230860084
308,4,0.8865057317151266
308,5,1.0
309,1,0.3557588849497992
309,2,0.5634416282150458
309,3,0.7498702869885072
309,4,0.9023692974919988
309,5,0.9999999999999998
310,1,0.36953569033036754
