,,,Original Feat,,Non-time dependencies,,
Subject,Phase_vs_phase,model,AUC,F1,AUC,F1,
100,Birch,phase1_vs_phase2,0.511034707,0.670750451,0.500016276,6.51E-05,0.011018431
100,Birch,phase1_vs_phase3,0.501191568,0.659622489,0.500032552,0.670281593,0.001159016
100,Birch,phase1_vs_phase4,0.511888163,0.671783065,0.500016276,6.51E-05,0.011871887
100,Birch,phase1_vs_phase5,0.51181847,0.671862666,0.500016276,6.51E-05,0.011802195
100,KMeans,phase1_vs_phase2,0.511236851,0.034450938,0.511236581,0.671206507,2.6984E-07
100,KMeans,phase1_vs_phase3,0.505287191,0.666026571,0.505270645,0.054376981,1.65459E-05
100,KMeans,phase1_vs_phase4,0.511771532,0.031917188,0.511754986,0.031918171,1.65459E-05
100,KMeans,phase1_vs_phase5,0.511752286,0.031260597,0.511752286,0.031260597,0
100,GaussianMixture,phase1_vs_phase2,0.515345186,0.042435983,0.513240575,0.622511894,0.00210461
100,GaussianMixture,phase1_vs_phase3,0.506444593,0.054086941,0.51695266,0.651776891,-0.010508067
100,GaussianMixture,phase1_vs_phase4,0.714473075,0.425585395,0.509067518,0.62600177,0.205405557
100,GaussianMixture,phase1_vs_phase5,0.556214518,0.268042345,0.506764501,0.643302367,0.049450017
208,Birch,phase1_vs_phase2,0.50166841,0.024100226,0.500016276,6.51E-05,0.001652134
208,Birch,phase1_vs_phase3,0.504202654,0,0.500016276,6.51E-05,0.004186378
208,Birch,phase1_vs_phase4,0.512505303,0.672380635,0.500016276,6.51E-05,0.012489027
208,Birch,phase1_vs_phase5,0.504351567,0,0.500016276,6.51E-05,0.004335291
208,KMeans,phase1_vs_phase2,0.502281036,0.042771707,0.500016276,6.51E-05,0.00226476
208,KMeans,phase1_vs_phase3,0.530109506,0.454698836,0.500016276,6.51E-05,0.03009323
208,KMeans,phase1_vs_phase4,0.510840593,0.58222191,0.500016276,6.51E-05,0.010824317
208,KMeans,phase1_vs_phase5,0.521403872,0.513391283,0.502647977,0.063641937,0.018755895
208,GaussianMixture,phase1_vs_phase2,0.533178974,0.060816631,0.500016276,6.51E-05,0.033162697
208,GaussianMixture,phase1_vs_phase3,0.99353056,0,0.500016276,6.51E-05,0.493514284
208,GaussianMixture,phase1_vs_phase4,0.54905111,0.465523578,0.500016276,6.51E-05,0.049034834
208,GaussianMixture,phase1_vs_phase5,0.80865409,0.833629944,0.500391942,0.656008181,0.308262148
209,Birch,phase1_vs_phase2,0.500479831,0,0.500195313,0.000780945,0.000284518
209,Birch,phase1_vs_phase3,0.500479831,0,0.500146484,0.000585766,0.000333346
209,Birch,phase1_vs_phase4,0.500479831,0,0.500683594,0.002730642,-0.000203763
209,Birch,phase1_vs_phase5,0.703932164,0.459769243,0.502636633,0.010491209,0.201295531
209,KMeans,phase1_vs_phase2,0.728027344,0.626425218,0.500244141,0.000976086,0.227783203
209,KMeans,phase1_vs_phase3,0.616927083,0.379062896,0.50008138,0.000325468,0.116845703
209,KMeans,phase1_vs_phase4,0.806054688,0.327115503,0.50061849,0.002470902,0.305436198
209,KMeans,phase1_vs_phase5,0.610836236,0.563599722,0.501285765,0.00512987,0.10955047
209,GaussianMixture,phase1_vs_phase2,0.748388672,0.663795916,0.525593428,0.144681601,0.222795243
