Subject,Phase_vs_phase,model,AUC,F1,AdjustedMutualInformation,CalinskiHarabasz,Silhouette_Euclidean,Silhouette_Manhalanobis,DaviesBouldin
100,Birch,phase1_vs_phase2,0.505296781,0.027392108,0.001860987,62600.06149,0.84557344,,0.236465606
100,Birch,phase1_vs_phase3,0.505401933,0.66610845,0.001030692,98228.55912,0.834895985,,0.351188522
100,Birch,phase1_vs_phase4,0.511470738,0.031277954,0.006057132,92679.05333,0.844596948,,0.347742088
100,Birch,phase1_vs_phase5,0.504532064,0.030292599,0.001295493,64138.79423,0.841683828,,0.26361425
100,KMeans,phase1_vs_phase2,0.511236851,0.034450938,0.005466769,73691.73415,0.826853691,,0.375516284
100,KMeans,phase1_vs_phase3,0.505287191,0.666026571,0.000985867,98252.05126,0.834880289,,0.351363392
100,KMeans,phase1_vs_phase4,0.511771532,0.031917188,0.006220282,93063.58688,0.843332235,,0.356168053
100,KMeans,phase1_vs_phase5,0.511752286,0.031260597,0.00629559,70112.32925,0.822647223,,0.384386405
100,GaussianMixture,phase1_vs_phase2,0.515345186,0.672009492,0.007701868,58458.15718,0.785079412,0.426295782,0.562443668
100,GaussianMixture,phase1_vs_phase3,0.506444593,0.054086941,0.00142749,96865.12066,0.831518881,0.468949872,0.370855626
100,GaussianMixture,phase1_vs_phase4,0.714473075,0.625574387,0.209960646,892.676732,0.011812655,0.23171103,3.956665766
100,GaussianMixture,phase1_vs_phase5,0.973959707,0.974624996,0.831606129,1999.519889,0.051204034,0.319675014,3.368358907
208,Birch,phase1_vs_phase2,0.501833059,0.024294596,0.000407473,33294.73211,0.844751416,,0.259891043
208,Birch,phase1_vs_phase3,0.504368113,0,0.008432738,15579.85929,0.848304962,,0.241421984
208,Birch,phase1_vs_phase4,0.502748334,0.008284632,0.001511139,15031.23862,0.804670211,,0.389261365
208,Birch,phase1_vs_phase5,0.547538695,0.611841258,0.025046336,27944.94903,0.457750797,,0.692787538
208,KMeans,phase1_vs_phase2,0.502281036,0.042771707,0.00031623,34774.67947,0.794565938,,0.525163026
208,KMeans,phase1_vs_phase3,0.530094039,0.546448607,0.002616802,41485.98281,0.407648763,,0.872647503
208,KMeans,phase1_vs_phase4,0.510840593,0.58222191,0.00038292,44033.99159,0.431372686,,0.85428784
208,KMeans,phase1_vs_phase5,0.521103613,0.513398678,0.001304367,57791.64429,0.439568971,,0.807790149
208,GaussianMixture,phase1_vs_phase2,0.503122803,0.66333171,0.000567006,32241.29767,0.779869744,0.444513231,0.584884356
208,GaussianMixture,phase1_vs_phase3,0.993282372,0,0.948873876,2723.4366,0.106850361,0.230872217,3.399208985
208,GaussianMixture,phase1_vs_phase4,0.549016939,0.540310985,0.006951568,293.587412,0.017549596,0.166812025,10.60350551
208,GaussianMixture,phase1_vs_phase5,0.808455539,0.833486397,0.345906102,2748.319069,0.059647826,0.151358841,3.202688011
209,Birch,phase1_vs_phase2,0.500529468,0,0.001032468,503.6560047,0.716650456,,0.484152633
