Subject,Phase_vs_phase,model,Silhouette_Manhalanobis
100,GaussianMixture,phase1_vs_phase2,0.42629578199815854
100,GaussianMixture,phase1_vs_phase3,0.4689498719634856
100,GaussianMixture,phase1_vs_phase4,0.231711029836468
100,GaussianMixture,phase1_vs_phase5,0.31967501406632104
208,GaussianMixture,phase1_vs_phase2,0.44451323073295856
208,GaussianMixture,phase1_vs_phase3,0.2308722171833947
208,GaussianMixture,phase1_vs_phase4,0.16681202469965534
208,GaussianMixture,phase1_vs_phase5,0.15135884076790726
209,GaussianMixture,phase1_vs_phase2,0.17123713901942567
209,GaussianMixture,phase1_vs_phase3,0.1650650143749948
209,GaussianMixture,phase1_vs_phase4,0.2307182043151757
209,GaussianMixture,phase1_vs_phase5,0.16122516605558246
210,GaussianMixture,phase1_vs_phase2,0.20656050390046587
210,GaussianMixture,phase1_vs_phase3,0.23117272835385552
210,GaussianMixture,phase1_vs_phase4,0.22664292620133047
210,GaussianMixture,phase1_vs_phase5,0.1729408646244176
211,GaussianMixture,phase1_vs_phase2,0.1520766970819239
211,GaussianMixture,phase1_vs_phase3,0.16715095355902077
211,GaussianMixture,phase1_vs_phase4,0.17647180820473327
211,GaussianMixture,phase1_vs_phase5,0.2534657620629935
212,GaussianMixture,phase1_vs_phase2,0.3482415915979443
212,GaussianMixture,phase1_vs_phase3,0.23038815567320622
212,GaussianMixture,phase1_vs_phase4,0.2321789500264212
212,GaussianMixture,phase1_vs_phase5,0.22032694926528365
215,GaussianMixture,phase1_vs_phase2,0.22393854636076893
215,GaussianMixture,phase1_vs_phase3,0.274903970574894
215,GaussianMixture,phase1_vs_phase4,0.2962649038061626
215,GaussianMixture,phase1_vs_phase5,0.26137877511079755
216,GaussianMixture,phase1_vs_phase2,0.2620011947811837
216,GaussianMixture,phase1_vs_phase3,0.15776089780321095
216,GaussianMixture,phase1_vs_phase4,0.2529205770747973
216,GaussianMixture,phase1_vs_phase5,0.24043255999216429
217,GaussianMixture,phase1_vs_phase2,0.22253697053436386
217,GaussianMixture,phase1_vs_phase3,0.21980227124221996
217,GaussianMixture,phase1_vs_phase4,0.17543947905181106
217,GaussianMixture,phase1_vs_phase5,0.20198538198892088
219,GaussianMixture,phase1_vs_phase2,0.25547386999301425
219,GaussianMixture,phase1_vs_phase3,0.23192873728226948
219,GaussianMixture,phase1_vs_phase4,0.2224375171797406
219,GaussianMixture,phase1_vs_phase5,0.21747458170897677
220,GaussianMixture,phase1_vs_phase2,0.18459489154637507
220,GaussianMixture,phase1_vs_phase3,0.2253997778044981
220,GaussianMixture,phase1_vs_phase4,0.21819222932187596
220,GaussianMixture,phase1_vs_phase5,0.18893278374244526
231,GaussianMixture,phase1_vs_phase2,0.22557734516830472
231,GaussianMixture,phase1_vs_phase3,0.24065681472721323
231,GaussianMixture,phase1_vs_phase4,0.24793235012331313
231,GaussianMixture,phase1_vs_phase5,0.24120027958075888
233,GaussianMixture,phase1_vs_phase2,0.20848944634572938
233,GaussianMixture,phase1_vs_phase3,0.21208710426893176
233,GaussianMixture,phase1_vs_phase4,0.2461087093773075
233,GaussianMixture,phase1_vs_phase5,0.2455710776673217
235,GaussianMixture,phase1_vs_phase2,0.24378913017498996
235,GaussianMixture,phase1_vs_phase3,0.2319100238318266
235,GaussianMixture,phase1_vs_phase4,0.28626314423698823
235,GaussianMixture,phase1_vs_phase5,0.23073953050262763
237,GaussianMixture,phase1_vs_phase2,0.2464535407091539
237,GaussianMixture,phase1_vs_phase3,0.22875721526580728
237,GaussianMixture,phase1_vs_phase4,0.25413840709172303
237,GaussianMixture,phase1_vs_phase5,0.2397240919213392
239,GaussianMixture,phase1_vs_phase2,0.25450267660800624
239,GaussianMixture,phase1_vs_phase3,0.2127842810895292
239,GaussianMixture,phase1_vs_phase4,0.15996059466191898
239,GaussianMixture,phase1_vs_phase5,0.20395199719768256
244,GaussianMixture,phase1_vs_phase2,0.184493688142067
244,GaussianMixture,phase1_vs_phase3,0.19228844824669653
244,GaussianMixture,phase1_vs_phase4,0.17642528389195478
244,GaussianMixture,phase1_vs_phase5,0.09327856913536377
245,GaussianMixture,phase1_vs_phase2,0.22454218386530997
245,GaussianMixture,phase1_vs_phase3,0.14802072871658664
245,GaussianMixture,phase1_vs_phase4,0.16774709428108367
245,GaussianMixture,phase1_vs_phase5,0.19831745798121628
246,GaussianMixture,phase1_vs_phase2,0.22132390336770286
246,GaussianMixture,phase1_vs_phase3,0.5201349986239124
246,GaussianMixture,phase1_vs_phase4,0.2092745266836202
246,GaussianMixture,phase1_vs_phase5,0.25213635374571636
256,GaussianMixture,phase1_vs_phase2,0.1989486927289145
256,GaussianMixture,phase1_vs_phase3,0.2859193997997057
256,GaussianMixture,phase1_vs_phase4,0.23181708241590623
256,GaussianMixture,phase1_vs_phase5,0.23357432409161244
260,GaussianMixture,phase1_vs_phase2,0.20016208751682457
260,GaussianMixture,phase1_vs_phase3,0.2045391778047489
260,GaussianMixture,phase1_vs_phase4,0.15340791664798054
260,GaussianMixture,phase1_vs_phase5,0.1825761229737283
261,GaussianMixture,phase1_vs_phase2,0.16471575800315033
261,GaussianMixture,phase1_vs_phase3,0.23303766142087834
261,GaussianMixture,phase1_vs_phase4,0.1608867036026695
261,GaussianMixture,phase1_vs_phase5,0.12764426538741858
263,GaussianMixture,phase1_vs_phase2,0.15630624656502637
263,GaussianMixture,phase1_vs_phase3,0.15769237252243043
263,GaussianMixture,phase1_vs_phase4,0.22258019356821762
263,GaussianMixture,phase1_vs_phase5,0.15961565829990354
264,GaussianMixture,phase1_vs_phase2,0.15310201876654386
264,GaussianMixture,phase1_vs_phase3,0.14645688373816892
264,GaussianMixture,phase1_vs_phase4,0.14132036352976396
264,GaussianMixture,phase1_vs_phase5,0.12617586929383842
269,GaussianMixture,phase1_vs_phase2,0.22098344263129768
269,GaussianMixture,phase1_vs_phase3,0.23168488383580213
269,GaussianMixture,phase1_vs_phase4,0.2569246693246616
269,GaussianMixture,phase1_vs_phase5,0.24941329733728562
278,GaussianMixture,phase1_vs_phase2,0.2648760728284009
278,GaussianMixture,phase1_vs_phase3,0.2583925418110424
278,GaussianMixture,phase1_vs_phase4,0.20683204042871253
278,GaussianMixture,phase1_vs_phase5,0.17130182938668914
279,GaussianMixture,phase1_vs_phase2,0.22384865513366697
279,GaussianMixture,phase1_vs_phase3,0.2466030885605943
279,GaussianMixture,phase1_vs_phase4,0.19765118137904691
279,GaussianMixture,phase1_vs_phase5,0.22788380806597702
280,GaussianMixture,phase1_vs_phase2,0.2515358307734619
280,GaussianMixture,phase1_vs_phase3,0.1845817038401888
280,GaussianMixture,phase1_vs_phase4,0.27120843892675045
280,GaussianMixture,phase1_vs_phase5,0.2865699734237561
281,GaussianMixture,phase1_vs_phase2,0.10106482852707545
281,GaussianMixture,phase1_vs_phase3,0.18215063782488347
281,GaussianMixture,phase1_vs_phase4,0.1885925638806567
281,GaussianMixture,phase1_vs_phase5,0.16839375418054284
282,GaussianMixture,phase1_vs_phase2,0.20880124314534626
282,GaussianMixture,phase1_vs_phase3,0.3764002947145083
282,GaussianMixture,phase1_vs_phase4,0.28693034897202396
282,GaussianMixture,phase1_vs_phase5,0.2509697694321763
283,GaussianMixture,phase1_vs_phase2,0.22910441200633522
283,GaussianMixture,phase1_vs_phase3,0.15717843024819228
283,GaussianMixture,phase1_vs_phase4,0.16406249745615992
283,GaussianMixture,phase1_vs_phase5,0.15503691295782554
284,GaussianMixture,phase1_vs_phase2,0.183040228290872
284,GaussianMixture,phase1_vs_phase3,0.16511980552660843
284,GaussianMixture,phase1_vs_phase4,0.23859042339031108
284,GaussianMixture,phase1_vs_phase5,0.2621386610941293
285,GaussianMixture,phase1_vs_phase2,0.22317405616523817
285,GaussianMixture,phase1_vs_phase3,0.2419033859032391
285,GaussianMixture,phase1_vs_phase4,0.2528712015069939
285,GaussianMixture,phase1_vs_phase5,0.29508794891434503
287,GaussianMixture,phase1_vs_phase2,0.21534033483983583
287,GaussianMixture,phase1_vs_phase3,0.16130173758762995
287,GaussianMixture,phase1_vs_phase4,0.26475386401965234
287,GaussianMixture,phase1_vs_phase5,0.22980345210292846
288,GaussianMixture,phase1_vs_phase2,0.23807622920243188
288,GaussianMixture,phase1_vs_phase3,0.15319991450308032
288,GaussianMixture,phase1_vs_phase4,0.23834401368059419
288,GaussianMixture,phase1_vs_phase5,0.23300463951465547
289,GaussianMixture,phase1_vs_phase2,0.14573007378282846
289,GaussianMixture,phase1_vs_phase3,0.14819736951018667
289,GaussianMixture,phase1_vs_phase4,0.16499907670488692
289,GaussianMixture,phase1_vs_phase5,0.15406080502732233
292,GaussianMixture,phase1_vs_phase2,0.46268067725315093
292,GaussianMixture,phase1_vs_phase3,0.21042578768837733
292,GaussianMixture,phase1_vs_phase4,0.23062153316861475
292,GaussianMixture,phase1_vs_phase5,0.23254048697116275
304,GaussianMixture,phase1_vs_phase2,0.23486291887682878
304,GaussianMixture,phase1_vs_phase3,0.1620127921408283
304,GaussianMixture,phase1_vs_phase4,0.23655505997775728
304,GaussianMixture,phase1_vs_phase5,0.14573018761276305
305,GaussianMixture,phase1_vs_phase2,0.18544214227940686
305,GaussianMixture,phase1_vs_phase3,0.20428811836632912
305,GaussianMixture,phase1_vs_phase4,0.21265293584835704
305,GaussianMixture,phase1_vs_phase5,0.2178995879684751
306,GaussianMixture,phase1_vs_phase2,0.5874658402325649
