Subject,Phase_vs_phase,model,Silhouette_Manhalanobis
100,Birch,phase1_vs_phase2,0.5185467152123108
100,Birch,phase1_vs_phase3,0.4743572535851603
100,Birch,phase1_vs_phase4,0.5154657826024165
100,Birch,phase1_vs_phase5,0.5376445578905555
100,KMeans,phase1_vs_phase2,0.4721973153652051
100,KMeans,phase1_vs_phase3,0.47428433090878636
100,KMeans,phase1_vs_phase4,0.5119038179665278
100,KMeans,phase1_vs_phase5,0.4931520086631349
208,Birch,phase1_vs_phase2,0.569290977074794
208,Birch,phase1_vs_phase3,0.6354634527700291
208,Birch,phase1_vs_phase4,0.5430930437060597
208,Birch,phase1_vs_phase5,0.13615235786936908
208,KMeans,phase1_vs_phase2,0.46420737887021646
208,KMeans,phase1_vs_phase3,0.09661644501818066
208,KMeans,phase1_vs_phase4,0.10741608257524989
208,KMeans,phase1_vs_phase5,0.11799691458414462
209,Birch,phase1_vs_phase2,0.6770469403919566
209,Birch,phase1_vs_phase3,0.3217963870629482
209,Birch,phase1_vs_phase4,0.2320885499086245
209,Birch,phase1_vs_phase5,0.3084444605422507
209,KMeans,phase1_vs_phase2,0.173013228021101
209,KMeans,phase1_vs_phase3,0.300060173891885
209,KMeans,phase1_vs_phase4,0.20063260414560966
209,KMeans,phase1_vs_phase5,0.29543536740148874
210,Birch,phase1_vs_phase2,0.1319838396732168
210,Birch,phase1_vs_phase3,0.16101689380826384
210,Birch,phase1_vs_phase4,0.11725305741721592
210,Birch,phase1_vs_phase5,0.1671929030304231
210,KMeans,phase1_vs_phase2,0.14875617396756005
210,KMeans,phase1_vs_phase3,0.14778874809780423
210,KMeans,phase1_vs_phase4,0.15036748249158102
210,KMeans,phase1_vs_phase5,0.14855839024238124
211,Birch,phase1_vs_phase2,0.158197814156342
211,Birch,phase1_vs_phase3,0.1530595344112399
211,Birch,phase1_vs_phase4,0.18191496692660689
211,Birch,phase1_vs_phase5,0.15084359665193917
211,KMeans,phase1_vs_phase2,0.15936424017616518
211,KMeans,phase1_vs_phase3,0.16910965473007766
211,KMeans,phase1_vs_phase4,0.18247398904456807
211,KMeans,phase1_vs_phase5,0.18125544198891674
212,Birch,phase1_vs_phase2,0.45388866945622736
212,Birch,phase1_vs_phase3,0.10922659085899214
212,Birch,phase1_vs_phase4,0.38256254970951087
212,Birch,phase1_vs_phase5,0.22032694926528365
212,KMeans,phase1_vs_phase2,0.44480713481270406
212,KMeans,phase1_vs_phase3,0.13367996002369018
212,KMeans,phase1_vs_phase4,0.2891794280229624
212,KMeans,phase1_vs_phase5,0.22032694926528365
215,Birch,phase1_vs_phase2,0.4887314542144827
215,Birch,phase1_vs_phase3,0.6005751935766782
215,Birch,phase1_vs_phase4,0.4582407389389922
215,Birch,phase1_vs_phase5,0.5837691485019145
215,KMeans,phase1_vs_phase2,0.5151361012685554
215,KMeans,phase1_vs_phase3,0.10403482325296243
215,KMeans,phase1_vs_phase4,0.29124431547987517
215,KMeans,phase1_vs_phase5,0.08455534914082778
216,Birch,phase1_vs_phase2,0.5014971714504232
216,Birch,phase1_vs_phase3,0.11177004885753797
216,Birch,phase1_vs_phase4,0.4569962322404906
216,Birch,phase1_vs_phase5,0.24967358183826338
216,KMeans,phase1_vs_phase2,0.30046946560099624
216,KMeans,phase1_vs_phase3,0.14725522200685273
216,KMeans,phase1_vs_phase4,0.40933394706520476
216,KMeans,phase1_vs_phase5,0.13256233345030508
217,Birch,phase1_vs_phase2,0.19407893016094976
217,Birch,phase1_vs_phase3,0.14587593761957504
217,Birch,phase1_vs_phase4,0.18097609375023987
217,Birch,phase1_vs_phase5,0.14869315266823735
217,KMeans,phase1_vs_phase2,0.1257396182542776
217,KMeans,phase1_vs_phase3,0.14662915025598858
217,KMeans,phase1_vs_phase4,0.1657832570453307
217,KMeans,phase1_vs_phase5,0.1473051178653448
219,Birch,phase1_vs_phase2,0.15123906164791234
219,Birch,phase1_vs_phase3,0.5295738334989877
219,Birch,phase1_vs_phase4,0.4436273767096706
219,Birch,phase1_vs_phase5,0.2624527755244046
219,KMeans,phase1_vs_phase2,0.18290549463608188
219,KMeans,phase1_vs_phase3,0.5217942050760985
219,KMeans,phase1_vs_phase4,0.4904139218928679
219,KMeans,phase1_vs_phase5,0.1853405355615425
220,Birch,phase1_vs_phase2,0.1293804327014643
220,Birch,phase1_vs_phase3,0.1689581445168505
220,Birch,phase1_vs_phase4,0.3050913538478495
220,Birch,phase1_vs_phase5,0.16862296773799654
220,KMeans,phase1_vs_phase2,0.1338526112134614
220,KMeans,phase1_vs_phase3,0.1647251153267276
220,KMeans,phase1_vs_phase4,0.13207427766117255
220,KMeans,phase1_vs_phase5,0.15754807958908582
231,Birch,phase1_vs_phase2,0.15343614209891493
231,Birch,phase1_vs_phase3,0.20600988948037874
231,Birch,phase1_vs_phase4,0.33125881719865197
231,Birch,phase1_vs_phase5,0.2098397794081762
231,KMeans,phase1_vs_phase2,0.22354403589632588
231,KMeans,phase1_vs_phase3,0.24065681472721323
231,KMeans,phase1_vs_phase4,0.24793235012331313
231,KMeans,phase1_vs_phase5,0.24120027958075888
233,Birch,phase1_vs_phase2,0.150427597873274
233,Birch,phase1_vs_phase3,0.15510158891382977
233,Birch,phase1_vs_phase4,0.16352630595101372
233,Birch,phase1_vs_phase5,0.16170272315767942
233,KMeans,phase1_vs_phase2,0.14891143054778194
233,KMeans,phase1_vs_phase3,0.15431238346425283
233,KMeans,phase1_vs_phase4,0.16123756946770876
233,KMeans,phase1_vs_phase5,0.16349753373278816
235,Birch,phase1_vs_phase2,0.3197096233673547
235,Birch,phase1_vs_phase3,0.19415747434960776
235,Birch,phase1_vs_phase4,0.40221641979000383
235,Birch,phase1_vs_phase5,0.5041524619207256
235,KMeans,phase1_vs_phase2,0.46959503837421995
235,KMeans,phase1_vs_phase3,0.2319100238318266
235,KMeans,phase1_vs_phase4,0.38228056813755945
235,KMeans,phase1_vs_phase5,0.23928418754638536
237,Birch,phase1_vs_phase2,0.8579142220479286
237,Birch,phase1_vs_phase3,0.31302343987527986
237,Birch,phase1_vs_phase4,0.13895811485599044
237,Birch,phase1_vs_phase5,0.2885866315982701
237,KMeans,phase1_vs_phase2,0.8357258610214348
237,KMeans,phase1_vs_phase3,0.12688309178410695
237,KMeans,phase1_vs_phase4,0.25413840709172303
237,KMeans,phase1_vs_phase5,0.13204840000705248
239,Birch,phase1_vs_phase2,0.25450267660800624
239,Birch,phase1_vs_phase3,0.22627844950749812
239,Birch,phase1_vs_phase4,0.15693362796054344
239,Birch,phase1_vs_phase5,0.14673603461898602
239,KMeans,phase1_vs_phase2,0.25450267660800624
239,KMeans,phase1_vs_phase3,0.16546506578623207
239,KMeans,phase1_vs_phase4,0.1567292564366784
239,KMeans,phase1_vs_phase5,0.1488378032936504
244,Birch,phase1_vs_phase2,0.43383944171338984
244,Birch,phase1_vs_phase3,0.11510670384612459
244,Birch,phase1_vs_phase4,0.5133858935863215
244,Birch,phase1_vs_phase5,0.47790247938911
244,KMeans,phase1_vs_phase2,0.22592529994517654
244,KMeans,phase1_vs_phase3,0.1374618565446254
244,KMeans,phase1_vs_phase4,0.4877304718356108
244,KMeans,phase1_vs_phase5,0.1326289228336216
245,Birch,phase1_vs_phase2,0.21248903207552167
245,Birch,phase1_vs_phase3,0.14070947990484878
245,Birch,phase1_vs_phase4,0.13154033086656883
245,Birch,phase1_vs_phase5,0.10407327465703745
245,KMeans,phase1_vs_phase2,0.22454218386530997
245,KMeans,phase1_vs_phase3,0.12742376660271135
245,KMeans,phase1_vs_phase4,0.14042139381144397
245,KMeans,phase1_vs_phase5,0.14582266010971204
246,Birch,phase1_vs_phase2,0.12275086617982324
246,Birch,phase1_vs_phase3,0.6358532825004876
246,Birch,phase1_vs_phase4,0.2648207000882733
246,Birch,phase1_vs_phase5,0.20186799413341458
246,KMeans,phase1_vs_phase2,0.13491525773718246
246,KMeans,phase1_vs_phase3,0.6075200216154344
246,KMeans,phase1_vs_phase4,0.17364008630104855
246,KMeans,phase1_vs_phase5,0.24941250272341142
256,Birch,phase1_vs_phase2,0.3293907362072407
256,Birch,phase1_vs_phase3,0.15553834635818514
256,Birch,phase1_vs_phase4,0.33216551698112046
256,Birch,phase1_vs_phase5,0.24104669436120782
256,KMeans,phase1_vs_phase2,0.11972817476423744
256,KMeans,phase1_vs_phase3,0.13863529696573648
256,KMeans,phase1_vs_phase4,0.12843724872794665
256,KMeans,phase1_vs_phase5,0.1174112110231068
260,Birch,phase1_vs_phase2,0.23536421083751394
260,Birch,phase1_vs_phase3,0.1283485357426725
260,Birch,phase1_vs_phase4,0.11732107534975118
260,Birch,phase1_vs_phase5,0.12002506286969175
260,KMeans,phase1_vs_phase2,0.13706178083588802
260,KMeans,phase1_vs_phase3,0.12383470439707953
260,KMeans,phase1_vs_phase4,0.10987367784426932
260,KMeans,phase1_vs_phase5,0.14272996447929745
261,Birch,phase1_vs_phase2,0.15798501182384894
261,Birch,phase1_vs_phase3,0.1943912460246618
261,Birch,phase1_vs_phase4,0.1391902338129608
261,Birch,phase1_vs_phase5,0.1602118513370588
261,KMeans,phase1_vs_phase2,0.1648773415041947
261,KMeans,phase1_vs_phase3,0.17443527444358847
261,KMeans,phase1_vs_phase4,0.16159300163767606
261,KMeans,phase1_vs_phase5,0.1608067902792536
263,Birch,phase1_vs_phase2,0.1512287668025826
263,Birch,phase1_vs_phase3,0.34997199067762413
263,Birch,phase1_vs_phase4,0.1886601451323588
263,Birch,phase1_vs_phase5,0.14791532956063771
263,KMeans,phase1_vs_phase2,0.1564820949154425
263,KMeans,phase1_vs_phase3,0.15143699372903427
263,KMeans,phase1_vs_phase4,0.14981863436363493
263,KMeans,phase1_vs_phase5,0.1562678218038155
264,Birch,phase1_vs_phase2,0.14389197699017844
264,Birch,phase1_vs_phase3,0.13080155947980512
264,Birch,phase1_vs_phase4,0.13812689722423907
264,Birch,phase1_vs_phase5,0.141208741071538
264,KMeans,phase1_vs_phase2,0.15374836519001817
264,KMeans,phase1_vs_phase3,0.1505908842537586
264,KMeans,phase1_vs_phase4,0.14356157070659872
264,KMeans,phase1_vs_phase5,0.14563906618169054
269,Birch,phase1_vs_phase2,0.18975955752270493
269,Birch,phase1_vs_phase3,0.36279212294079993
269,Birch,phase1_vs_phase4,0.4132123227448707
269,Birch,phase1_vs_phase5,0.3874716795137553
269,KMeans,phase1_vs_phase2,0.15085905843414543
269,KMeans,phase1_vs_phase3,0.2296655897055269
269,KMeans,phase1_vs_phase4,0.2569206146252904
269,KMeans,phase1_vs_phase5,0.24941329733728562
278,Birch,phase1_vs_phase2,0.23855251094544005
278,Birch,phase1_vs_phase3,0.12242698851870477
278,Birch,phase1_vs_phase4,0.1890166647334799
278,Birch,phase1_vs_phase5,0.13092384526442677
278,KMeans,phase1_vs_phase2,0.2636301327191824
278,KMeans,phase1_vs_phase3,0.1491233013626314
278,KMeans,phase1_vs_phase4,0.14481706475719502
278,KMeans,phase1_vs_phase5,0.15145824573450764
279,Birch,phase1_vs_phase2,0.12392030479726333
279,Birch,phase1_vs_phase3,0.143550429338578
279,Birch,phase1_vs_phase4,0.1344650100515785
279,Birch,phase1_vs_phase5,0.12984997486666186
279,KMeans,phase1_vs_phase2,0.12639981074581536
279,KMeans,phase1_vs_phase3,0.1451634465278354
279,KMeans,phase1_vs_phase4,0.13876044926347003
279,KMeans,phase1_vs_phase5,0.1299791931124181
280,Birch,phase1_vs_phase2,0.2558929489497273
280,Birch,phase1_vs_phase3,0.353793785508842
280,Birch,phase1_vs_phase4,0.27591742246613177
280,Birch,phase1_vs_phase5,0.12968820702834394
280,KMeans,phase1_vs_phase2,0.2556985210032684
280,KMeans,phase1_vs_phase3,0.2021357927669555
280,KMeans,phase1_vs_phase4,0.27473918457842705
280,KMeans,phase1_vs_phase5,0.28877767313727454
281,Birch,phase1_vs_phase2,0.13222994263499527
281,Birch,phase1_vs_phase3,0.16991028347990944
281,Birch,phase1_vs_phase4,0.13421825385066677
281,Birch,phase1_vs_phase5,0.12452094200021689
281,KMeans,phase1_vs_phase2,0.15316884773025946
281,KMeans,phase1_vs_phase3,0.17784495302382677
281,KMeans,phase1_vs_phase4,0.18763523362396617
281,KMeans,phase1_vs_phase5,0.1744535736157574
282,Birch,phase1_vs_phase2,0.1589326113354328
282,Birch,phase1_vs_phase3,0.40908167652590066
282,Birch,phase1_vs_phase4,0.2986060490302637
282,Birch,phase1_vs_phase5,0.4003954932923228
282,KMeans,phase1_vs_phase2,0.15048459879420412
282,KMeans,phase1_vs_phase3,0.1062339725820822
282,KMeans,phase1_vs_phase4,0.13015563496400173
282,KMeans,phase1_vs_phase5,0.12158447966469664
283,Birch,phase1_vs_phase2,0.16054895512477102
283,Birch,phase1_vs_phase3,0.11727948701981668
283,Birch,phase1_vs_phase4,0.13845346613209564
283,Birch,phase1_vs_phase5,0.15595835617813694
283,KMeans,phase1_vs_phase2,0.15178626722034066
283,KMeans,phase1_vs_phase3,0.1607354111133912
283,KMeans,phase1_vs_phase4,0.16328165090487548
283,KMeans,phase1_vs_phase5,0.1501884037829613
284,Birch,phase1_vs_phase2,0.15286507181137207
284,Birch,phase1_vs_phase3,0.15158487433148352
284,Birch,phase1_vs_phase4,0.16210052960386642
284,Birch,phase1_vs_phase5,0.13580692487548912
284,KMeans,phase1_vs_phase2,0.14579139434624125
