Subject,Phase_vs_phase,model,AUC,F1,AdjustedMutualInformation,CalinskiHarabasz,Silhouette_Mahanlanobis,DaviesBouldin
100,SpectralClustering,phase1_vs_phase2,0.5044827948036623,0.02670101149714142,0.0014189992713901044,59862.388294082164,0.5248259408485805,0.21867534418059054
100,SpectralClustering,phase1_vs_phase3,0.5027548311389357,0.05143496086470369,0.00037855283321645307,87600.57621526606,0.5207993221637819,0.20284397346711838
100,SpectralClustering,phase1_vs_phase4,0.5039003652244862,0.029721595184349133,0.0010044713061197284,76525.68506059494,0.5584969168940536,0.23452079377989582
100,SpectralClustering,phase1_vs_phase5,0.5034175413419948,0.02901645521919357,0.0008054759693777304,60759.872876344205,0.5478582226711995,0.23944729267780582
208,SpectralClustering,phase1_vs_phase2,0.5019211853081877,0.02305236270753512,0.00048768277160555297,32003.09288333569,0.5768583196265009,0.23975608202252705
208,SpectralClustering,phase1_vs_phase3,0.5036070022171482,0.0,0.006996084619351891,14033.02174156551,0.6514292408542528,0.18404984413447048
208,SpectralClustering,phase1_vs_phase4,0.5032760845825475,0.0,0.006367158672195397,10753.512645955747,0.6298104870047532,0.1671105169634976
208,SpectralClustering,phase1_vs_phase5,0.5032264469373573,0.0,0.006272636108454932,7508.974823257136,0.5508470130443859,0.1869736158666062
209,SpectralClustering,phase1_vs_phase2,0.5275227864583333,0.10434728950047824,0.04729284187568517,29151.982305789996,0.45293216027299477,0.3728498729075177
209,SpectralClustering,phase1_vs_phase3,0.602099609375,0.3391452436947531,0.14897602284148828,115780.18802401655,0.32357757517771985,0.3668112822643318
209,SpectralClustering,phase1_vs_phase4,0.726806640625,0.6241182398387639,0.30941348238784777,161701.272136806,0.23209453759210455,0.3728841039437403
209,SpectralClustering,phase1_vs_phase5,0.5937469483415253,0.3157808174118034,0.13835561313758818,188611.78725657784,0.3130329463749912,0.23202002513256173
210,SpectralClustering,phase1_vs_phase2,0.5166060334428464,0.4664762042528569,0.0008260804260916678,72106.3049292955,0.15014656773597151,0.8187807828320461
210,SpectralClustering,phase1_vs_phase3,0.5019205729166667,0.0076528957779363116,0.0037332363860678834,1819.9123131168074,0.51829687349614,0.2997724541859729
210,SpectralClustering,phase1_vs_phase4,0.650634765625,0.4630393996247655,0.20991688596022795,24464.693086167874,0.3196919445275495,0.8161720753260897
210,SpectralClustering,phase1_vs_phase5,0.5045720093560598,0.19780618727796073,0.0001578582604545085,51051.12515480804,0.20437251289888828,0.5657422848452223
211,SpectralClustering,phase1_vs_phase2,0.5131480281833243,0.5315575777682986,0.0004902391469778961,74407.33564437341,0.159335878223721,0.8592353698948919
211,SpectralClustering,phase1_vs_phase3,0.5162292850085004,0.504768621129693,0.0007512403557096632,103893.23461418414,0.16944372357513138,0.7220528259885601
211,SpectralClustering,phase1_vs_phase4,0.5298708442044947,0.5072179830892968,0.0025987539859771884,155131.12905366186,0.18175647188525437,0.5522849341242086
211,SpectralClustering,phase1_vs_phase5,0.5017740307932684,0.007071034706454752,0.003450735549102888,2321.171677937727,0.6819745519996753,0.22643510160691013
212,SpectralClustering,phase1_vs_phase2,0.541357421875,0.15279155768016595,0.06797167121052891,33788.60885066572,0.4541230364270544,0.4552424634670678
212,SpectralClustering,phase1_vs_phase3,0.5045701244198602,0.038836156089087415,0.0010464820353399602,14156.29279721331,0.3793421457407024,0.41923717867138055
212,SpectralClustering,phase1_vs_phase4,0.5065592447916667,0.025897246409407833,0.012398225971014261,11949.304303473129,0.5023117507688505,0.2161483384118382
212,SpectralClustering,phase1_vs_phase5,0.9999837239583333,0.9999837236934195,0.9997318841539896,110679.79596311397,0.2203287992435565,0.6339609253638225
215,SpectralClustering,phase1_vs_phase2,0.5137044270833333,0.05335530067803054,0.024938354544873642,52543.52645343341,0.5728156388910666,0.23605295873445875
215,SpectralClustering,phase1_vs_phase3,0.5050455729166666,0.019980663873670645,0.00962435030998232,21879.38774437893,0.6676524263216096,0.15431527547982352
215,SpectralClustering,phase1_vs_phase4,0.5119791666666667,0.04679552390640895,0.021984859161116217,17329.47097544625,0.5366489777717718,0.3042610195167626
215,SpectralClustering,phase1_vs_phase5,0.5050130208333333,0.019853035967513217,0.009564169439018767,19689.785576197824,0.6472579952193364,0.17783741876270978
216,SpectralClustering,phase1_vs_phase2,0.5089192708333333,0.035051810157349365,0.01663447385954633,16112.595987783661,0.5321172498214749,0.2885579591058085
216,SpectralClustering,phase1_vs_phase3,0.5169122970673459,0.16233014097239878,0.004207365303450491,23579.938028807253,0.24765955380259458,0.8011210743255418
216,SpectralClustering,phase1_vs_phase4,0.5028157552083333,0.011199948208331985,0.005445790200392132,8655.840208216758,0.5989277488538342,0.11321537334230883
216,SpectralClustering,phase1_vs_phase5,0.5087323443808117,0.08968014484007242,0.0023266432271207365,22231.181018864045,0.2886951958167839,0.49649612217607675
217,SpectralClustering,phase1_vs_phase2,0.5361494569460645,0.6158399367166296,0.004754984569649409,61279.64540847254,0.14992703025784115,0.7952185425428858
217,SpectralClustering,phase1_vs_phase3,0.5491280110273131,0.6329470465153709,0.009309000946467567,71901.19349542217,0.16702311247631227,0.7262955590491016
217,SpectralClustering,phase1_vs_phase4,0.6070830625237846,0.06734581221458323,0.08779814425362707,43206.07427417478,0.2004740189288432,0.6878173994418726
217,SpectralClustering,phase1_vs_phase5,0.5865172731895703,0.14069269250101724,0.044563621815507354,49205.25803873494,0.2029959566133416,0.732558828922771
219,SpectralClustering,phase1_vs_phase2,0.500180951191717,0.023145645884335358,-1.8023786961914003e-05,40536.17598696353,0.5552616417426831,0.1771341937921623
219,SpectralClustering,phase1_vs_phase3,0.5081518424614895,0.054928211705089304,0.004277955326829733,80499.78876486052,0.5261004961315233,0.25635012694876813
219,SpectralClustering,phase1_vs_phase4,0.5036967943259001,0.037080319636145415,0.00115458245062584,48665.295895238814,0.547803676588057,0.21362878164664006
219,SpectralClustering,phase1_vs_phase5,0.5003732437451397,0.025094501445316223,-6.736265104849041e-06,38216.15031386141,0.5435113218643646,0.17976605287765715
220,SpectralClustering,phase1_vs_phase2,0.5086737680815463,0.045655748071329195,0.007088545022298822,10521.847868907309,0.4038733537216364,0.3425278372517716
220,SpectralClustering,phase1_vs_phase3,0.5613599532010076,0.5124340069178954,0.011545726379720844,141523.8038576209,0.16809717433502855,0.5375566847161856
220,SpectralClustering,phase1_vs_phase4,0.5236026211132689,0.5839749482877499,0.0017790163210353784,86473.89039145426,0.137468533291349,0.6619811499745704
220,SpectralClustering,phase1_vs_phase5,0.510923731693533,0.5205483860586361,0.00033294180457083135,135130.20250666057,0.15712941900022823,0.5803146972648242
231,SpectralClustering,phase1_vs_phase2,0.9506998697916667,0.9481433291674514,0.7621169895563061,66442.21429879949,0.223601882649677,0.8342162778953709
231,SpectralClustering,phase1_vs_phase3,1.0,1.0,1.0,67412.71051464239,0.24065681472721323,0.8235426804145201
231,SpectralClustering,phase1_vs_phase4,1.0,1.0,1.0,42841.29277868566,0.24793235012331313,1.0087849909150655
231,SpectralClustering,phase1_vs_phase5,1.0,1.0,1.0,52922.36033052333,0.24120027958075888,0.9496662922227697
233,SpectralClustering,phase1_vs_phase2,0.5107099456519492,0.47342521349454636,0.0003211737750577094,101387.46611488938,0.14889729415935732,0.7094331945938466
233,SpectralClustering,phase1_vs_phase3,0.5311240218540074,0.527268216028451,0.0027872355577117933,140268.53847411508,0.15430271427806913,0.5720491726116201
233,SpectralClustering,phase1_vs_phase4,0.5135630632063023,0.4801036338271441,0.0005197324638411569,136275.80695837148,0.16228895754720613,0.5853177330087482
233,SpectralClustering,phase1_vs_phase5,0.5139450145448642,0.5327229676400947,0.0005531492603820491,115950.82879835748,0.1649180818415029,0.6536123093995242
235,SpectralClustering,phase1_vs_phase2,0.5079264322916667,0.03121094626205659,0.01486477350625477,28075.200092607844,0.6042697992952641,0.1896993079132771
235,SpectralClustering,phase1_vs_phase3,0.5234790052796874,0.5624745379102225,0.0016414163277718885,33370.369046579464,0.1295057550393699,1.2844739887267425
235,SpectralClustering,phase1_vs_phase4,0.657666015625,0.4794713787215086,0.2187793195397387,69860.66269559029,0.4019121146654675,0.654251849271247
235,SpectralClustering,phase1_vs_phase5,0.5212239583333333,0.08143892080939295,0.03735952929797065,17645.071281743447,0.5070585741055493,0.44647391440430406
237,SpectralClustering,phase1_vs_phase2,0.5015462239583334,0.006165828330358591,0.003010385839566636,72343.1383514865,0.8610903975534148,0.06533273902011622
237,SpectralClustering,phase1_vs_phase3,0.614253761667432,0.681142639185931,0.04858189930445399,30933.051640907706,0.14338948068459023,1.1701029279398063
237,SpectralClustering,phase1_vs_phase4,0.6884367150401031,0.7216725230457092,0.11336196930618384,24598.070715442558,0.14124621812021027,1.4301226906599909
237,SpectralClustering,phase1_vs_phase5,0.5834485647352452,0.31639133521364565,0.022923599744030135,31864.32615998611,0.13539083783199715,1.2556417596233866
239,SpectralClustering,phase1_vs_phase2,0.9999837239583333,0.9999837236934195,0.9997318841539896,94512.21696163152,0.25450267660800624,0.706102636460364
239,SpectralClustering,phase1_vs_phase3,0.9980631510416667,0.998059392377815,0.9815593221529829,37218.849756422256,0.2260611390756195,1.1401755772549664
239,SpectralClustering,phase1_vs_phase4,0.5382803677684156,0.466874586523013,0.004687863898131786,64064.760570100785,0.16201826685076756,0.8636721149403078
239,SpectralClustering,phase1_vs_phase5,0.5210256517396961,0.448819639391827,0.0013979385824351622,89871.95530419238,0.15044991006781835,0.7284373971059489
244,SpectralClustering,phase1_vs_phase2,0.5043350210132698,0.0,0.00837055263971228,4981.274949459507,0.524618293005957,0.334523150084874
244,SpectralClustering,phase1_vs_phase3,0.5043350210132698,0.0,0.00837055263971228,8047.224546350941,0.5582122541137859,0.30021013089198917
244,SpectralClustering,phase1_vs_phase4,0.5055966024841573,0.03788646730866701,0.003048732977288747,33036.36330564676,0.539496730175813,0.26859957421864833
244,SpectralClustering,phase1_vs_phase5,0.5043350210132698,0.0,0.00837055263971228,9169.197255928264,0.5808197165810234,0.2864987060683253
245,SpectralClustering,phase1_vs_phase2,0.9999837239583333,3.281916639317362e-05,0.9997318841539894,43350.140018103586,0.22454218386530997,0.9560536933959743
245,SpectralClustering,phase1_vs_phase3,0.5149872580552591,0.5786675812398182,0.0007169702973699304,55586.00010678333,0.12458259575523926,0.8935527346274819
245,SpectralClustering,phase1_vs_phase4,0.5365360165712176,0.6320404103852597,0.005667416106711105,60517.33963796187,0.15508726302461748,0.7212637705751269
245,SpectralClustering,phase1_vs_phase5,0.5290569742571933,0.31289021023571884,0.0033612695111765534,56677.123935834,0.16173084506539293,0.8163266960707535
246,SpectralClustering,phase1_vs_phase2,0.5055695522296609,0.5106790755087788,7.76837618124989e-05,60412.85887521833,0.1350161462203527,0.9322574465960619
246,SpectralClustering,phase1_vs_phase3,0.5029622395833333,0.011779172869069963,0.005723991143958154,17784.172484559534,0.6965751488450044,0.1036872157388624
246,SpectralClustering,phase1_vs_phase4,0.8301221816417238,0.7960125097732603,0.46104401652852794,46375.333586462,0.16065473530292362,0.9571539810097737
246,SpectralClustering,phase1_vs_phase5,0.954345703125,0.08800828313253012,0.7746828296077484,70145.43519476388,0.23337366149282948,0.8081812254863697
256,SpectralClustering,phase1_vs_phase2,0.5486249725958834,0.5572318740238621,0.006829188329560923,49234.56289249981,0.11954381323463772,0.9804159999301103
256,SpectralClustering,phase1_vs_phase3,0.5523324118699121,0.48563561266636074,0.008114485327401891,52003.94859215471,0.1388185747131889,0.9728055459099528
