Subject,Phase_vs_phase,model,AUC,F1
100,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
100,Birch,phase1_vs_phase3,0.5000325520833333,0.6702815933316605
100,Birch,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
100,Birch,phase1_vs_phase5,0.5000162755118649,6.509992839007877e-05
100,KMeans,phase1_vs_phase2,0.5112365813545493,0.6712065071046276
100,KMeans,phase1_vs_phase3,0.505270645382458,0.05437698122409168
100,KMeans,phase1_vs_phase4,0.5117549861273123,0.031918171175057
100,KMeans,phase1_vs_phase5,0.5117522864961372,0.031260597465856896
100,GaussianMixture,phase1_vs_phase2,0.5132405752460166,0.6225118943586756
100,GaussianMixture,phase1_vs_phase3,0.5169526599702381,0.6517768914816358
100,GaussianMixture,phase1_vs_phase4,0.5090675180556935,0.6260017701475526
100,GaussianMixture,phase1_vs_phase5,0.5067645005301992,0.6433023666801997
208,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
208,Birch,phase1_vs_phase3,0.5000162760416667,6.51020474593926e-05
208,Birch,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
208,Birch,phase1_vs_phase5,0.5000162755118649,6.509992839007877e-05
208,KMeans,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
208,KMeans,phase1_vs_phase3,0.5000162760416667,6.51020474593926e-05
208,KMeans,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
208,KMeans,phase1_vs_phase5,0.5026479771461502,0.06364193746167994
208,GaussianMixture,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
208,GaussianMixture,phase1_vs_phase3,0.5000162760416667,6.51020474593926e-05
208,GaussianMixture,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
208,GaussianMixture,phase1_vs_phase5,0.500391941513496,0.6560081813533323
209,Birch,phase1_vs_phase2,0.5001953125,0.0007809449433814916
209,Birch,phase1_vs_phase3,0.500146484375,0.0005857658888997364
209,Birch,phase1_vs_phase4,0.50068359375,0.0027306417007996876
