Subject,Phase_vs_phase,CalinskiHarabasz,Silhouette_Mahanlanobis,DaviesBouldin
100,phase1_vs_phase3,498.0849182,0.120154582,6.49703903
100,phase1_vs_phase5,33.33387876,0.111949459,25.89400209
100,phase3_vs_phase5,408.063857,0.111911751,7.329742603
100,phase1_vs_phase2,92.41717264,0.066051304,16.16281049
100,phase1_vs_phase4,765.8959066,0.112000529,5.624692345
100,phase3_vs_phase2,346.8170565,0.09965288,8.082567789
100,phase3_vs_phase4,1900.071271,0.117296926,3.381952544
100,phase5_vs_phase2,122.5808094,0.105455145,13.9606278
100,phase5_vs_phase4,451.2386138,0.100016382,7.154562118
208,phase1_vs_phase3,324.5100677,0.125155044,6.857726371
208,phase1_vs_phase5,1216.814376,0.107318991,5.274390697
208,phase3_vs_phase5,193.9935877,0.133107897,9.419570298
208,phase1_vs_phase2,242.3691378,0.120819011,5.208753203
208,phase1_vs_phase4,1075.364156,0.103272187,4.607879467
208,phase3_vs_phase2,151.3934125,0.147012469,6.310602908
208,phase3_vs_phase4,166.1490064,0.153013458,8.67634225
208,phase5_vs_phase2,551.5484562,0.156950358,3.807948373
208,phase5_vs_phase4,2.081930444,0.045406827,107.3606726
209,phase1_vs_phase3,5320.130754,0.10561324,1.447505048
209,phase1_vs_phase5,687.6756088,0.115634551,2.100679641
209,phase3_vs_phase5,72.02538736,0.080064354,7.288911958
209,phase1_vs_phase2,1349.633211,0.095406614,2.147571184
209,phase1_vs_phase4,5813.905204,0.105706313,0.964230567
209,phase3_vs_phase2,747.2638683,0.110189643,3.066888024
209,phase3_vs_phase4,1157.712286,0.110091647,2.411932898
209,phase5_vs_phase2,296.4025695,0.118147212,3.330377748
209,phase5_vs_phase4,63.5431612,0.104759443,8.161542385
210,phase1_vs_phase3,7551.552556,0.118411973,1.868663335
210,phase1_vs_phase5,415.3803376,0.118952651,7.394299924
210,phase3_vs_phase5,3649.006921,0.143673828,2.420639287
210,phase1_vs_phase2,2330.653099,0.106039899,3.376230794
210,phase1_vs_phase4,3866.859825,0.119735188,2.495570394
210,phase3_vs_phase2,2283.750175,0.105418738,3.181446757
210,phase3_vs_phase4,1651.513841,0.125382318,3.618398495
210,phase5_vs_phase2,475.7762068,0.129005055,6.441913138
210,phase5_vs_phase4,1158.946782,0.114814952,3.997062647
211,phase1_vs_phase3,986.6372535,0.095787964,5.222484064
211,phase1_vs_phase5,1499.038071,0.092107169,4.602653178
211,phase3_vs_phase5,94.35466196,0.117668854,16.61229855
211,phase1_vs_phase2,1459.020119,0.089329576,3.999156983
211,phase1_vs_phase4,50.51907792,0.096472289,9.058270922
211,phase3_vs_phase2,71.86285895,0.07699096,16.22660742
211,phase3_vs_phase4,44.60482618,0.131073935,9.488526533
211,phase5_vs_phase2,119.4552511,0.105761835,13.78691775
211,phase5_vs_phase4,76.36823877,0.110886654,7.866915888
212,phase1_vs_phase3,1454.2586,0.063261888,3.223585241
212,phase1_vs_phase5,14133.01424,0.107608066,1.211110528
212,phase3_vs_phase5,4914.252745,0.093731228,1.973460326
212,phase1_vs_phase2,48.18703653,0.093264689,5.990118597
212,phase1_vs_phase4,1687.396538,0.115836639,3.035920493
212,phase3_vs_phase2,15.09757321,0.10461983,11.52357958
212,phase3_vs_phase4,88.69585539,0.138220671,12.83204227
212,phase5_vs_phase2,540.3042031,0.101869159,2.042874855
212,phase5_vs_phase4,6133.197912,0.112391866,1.799500258
215,phase1_vs_phase3,2557.562035,0.131476124,3.292264902
215,phase1_vs_phase5,1605.603098,0.126922529,3.317996049
215,phase3_vs_phase5,4155.166665,0.15777683,1.987662807
215,phase1_vs_phase2,57.49454832,0.101091317,22.26894915
215,phase1_vs_phase4,1259.190846,0.171826215,2.351531809
215,phase3_vs_phase2,2030.623624,0.101792145,3.51920865
215,phase3_vs_phase4,2488.393041,0.202247095,1.71736098
215,phase5_vs_phase2,1349.474452,0.154216181,3.63230507
215,phase5_vs_phase4,740.7653934,0.166431462,2.980520042
216,phase1_vs_phase3,507.8711649,0.098553492,8.791075116
216,phase1_vs_phase5,77.94905745,0.107495998,22.36803828
216,phase3_vs_phase5,589.845059,0.119951661,7.840137718
